,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
0,0,226,James Harden,30.08838509,89
1,1,333,LeBron James,27.46847214,55
2,2,26,Anthony Davis,27.0504737,70
3,3,297,Kawhi Leonard,26.12542488,88
4,4,180,Giannis Antetokounmpo,26.0846815,93
5,5,392,Nikola Jokic,25.04918867,95
6,6,438,Russell Westbrook,25.04551921,79
7,7,411,Paul George,24.53996064,86
8,8,296,Karl-Anthony Towns,24.50480794,78
9,9,259,Joel Embiid,24.39325464,78
10,10,394,Nikola Vucevic,24.04390842,87
11,11,38,Blake Griffin,23.8212219,79
13,13,17,Andre Drummond,22.89527027,83
14,14,307,Kevin Durant,22.5610209,90
15,15,88,Damian Lillard,22.55839954,98
16,16,124,Devin Booker,21.67911127,70
17,17,372,Mike Conley,21.57715878,80
18,18,437,Rudy Gobert,21.52561945,86
19,19,325,Kyrie Irving,20.8630738,77
20,20,74,Clint Capela,20.82406606,79
21,21,302,Kemba Walker,20.75342249,82
22,22,339,Luka Doncic,20.58630254,74
23,23,460,Stephen Curry,20.57100414,91
24,24,45,Bradley Beal,20.39165809,82
25,25,107,DeAndre Jordan,20.27398214,76
26,26,113,Deandre Ayton,20.16206002,71
27,27,35,Ben Simmons,19.54597673,91
28,28,533,Zach LaVine,19.45730873,68
29,29,326,LaMarcus Aldridge,19.22597443,88
30,30,284,Jrue Holiday,19.177081,67
31,31,109,DeMar DeRozan,19.05586141,86
32,32,310,Kevin Love,19.0246157,29
33,33,483,Tobias Harris,18.88330682,94
34,34,260,John Collins,18.63521598,62
35,35,264,John Wall,18.54499632,34
36,36,72,Chris Paul,18.49837111,75
37,37,93,Danilo Gallinari,17.78068486,76
38,38,253,Jimmy Butler,17.67621728,77
39,39,82,D'Angelo Russell,17.58846001,87
40,40,332,Lauri Markkanen,17.53839602,57
41,41,287,Julius Randle,17.04975861,77
42,42,489,Trae Young,16.8978878,82
43,43,513,Victor Oladipo,16.61783788,36
44,44,191,Hassan Whiteside,16.50948046,79
45,45,293,Jusuf Nurkic,16.49648394,73
46,46,3,Al Horford,16.29780518,78
47,47,158,Enes Kanter,16.18392292,90
48,48,496,Tristan Thompson,16.17668298,46
49,49,404,Pascal Siakam,15.85002578,106
50,50,331,Larry Nance Jr.,15.81006357,69
51,51,133,Domantas Sabonis,15.80683704,79
52,52,337,Lou Williams,15.75408484,83
53,53,349,Marc Gasol,15.72002934,105
54,54,105,De'Aaron Fox,15.6720079,82
55,55,0,Aaron Gordon,15.6489227,84
56,56,462,Steven Adams,15.40487944,87
57,57,323,Kyle Lowry,15.29369133,93
58,58,54,Buddy Hield,15.07522695,82
59,59,56,CJ McCollum,15.04174436,86
60,60,465,T.J. Warren,15.03403783,44
61,61,135,Donovan Mitchell,14.88678491,82
62,62,382,Montrezl Harrell,14.88640255,88
63,63,122,Derrick Rose,14.54641473,58
64,64,224,Jamal Murray,14.50283992,89
65,65,42,Bojan Bogdanovic,14.35397841,86
66,66,235,Jarrett Allen,14.33608412,86
67,67,270,Jonas Valanciunas,14.23609688,50
68,68,313,Khris Middleton,14.17852075,95
70,70,246,Jeremy Lamb,14.05837804,79
71,71,526,Willie Cauley-Stein,13.77347118,81
72,72,275,Jordan Clarkson,13.53918613,82
73,73,401,Otto Porter Jr.,13.48107482,57
74,74,315,Klay Thompson,13.44693884,102
75,75,241,Jayson Tatum,13.39498071,89
76,76,283,Josh Richardson,13.38185459,78
77,77,141,Draymond Green,13.37723774,88
78,78,47,Brandon Ingram,13.36922414,58
79,79,322,Kyle Kuzma,13.33869692,77
80,80,215,Jabari Parker,13.3098062,78
81,81,384,Myles Turner,13.2037475,78
82,82,159,Eric Bledsoe,13.20229236,97
83,83,120,Derrick Favors,13.19507049,82
84,84,436,Rudy Gay,13.13615759,84
85,85,475,Thaddeus Young,13.03215132,86
86,86,100,Darren Collison,12.92886534,80
87,87,493,Trevor Ariza,12.9076302,73
88,88,146,Dwight Howard,12.90759119,10
89,89,344,Malcolm Brogdon,12.78939946,80
90,90,417,Rajon Rondo,12.66491096,51
91,91,359,Marvin Bagley III,12.64705136,62
92,92,154,Elfrid Payton,12.63691292,46
93,93,395,Noah Vonleh,12.63606601,69
94,94,481,Tim Hardaway Jr.,12.57179272,68
95,95,214,JaVale McGee,12.55390199,81
96,96,33,Bam Adebayo,12.46890289,82
97,97,148,Dwyane Wade,12.4588051,75
98,98,83,D.J. Augustin,12.43779626,86
99,99,320,Kyle Anderson,12.42645272,48
100,100,258,Joe Ingles,12.4168138,87
101,101,243,Jeff Teague,12.41518086,50
102,102,61,Caris LeVert,12.41156968,45
103,103,128,Dewayne Dedmon,12.29604373,65
104,104,157,Emmanuel Mudiay,12.27195347,61
105,105,189,Harrison Barnes,12.26096049,77
106,106,458,Spencer Dinwiddie,12.23950104,74
107,107,447,Serge Ibaka,12.19069959,101
108,108,40,Bobby Portis,12.17743942,51
109,109,423,Reggie Jackson,12.16841418,86
110,110,477,Thomas Bryant,12.11571932,81
111,111,110,DeMarcus Cousins,12.10461935,38
112,112,426,Ricky Rubio,12.03089891,74
113,113,353,Marcus Morris Sr.,11.86491154,86
114,114,147,Dwight Powell,11.83810908,79
115,115,301,Kelly Oubre Jr.,11.80152884,69
116,116,63,Cedi Osman,11.67537875,78
117,117,412,Paul Millsap,11.59241983,85
118,118,520,Wendell Carter Jr.,11.54169036,46
119,119,292,Justise Winslow,11.45394248,68
120,120,393,Nikola Mirotic,11.43386284,72
121,121,319,Kris Dunn,11.43039786,48
122,122,22,Andrew Wiggins,11.37667125,75
123,123,245,Jerami Grant,11.36773641,85
125,125,390,Nicolas Batum,11.28068537,79
126,126,76,Cody Zeller,11.23437282,50
127,127,41,Bogdan Bogdanovic,11.22355149,71
128,128,232,Jaren Jackson Jr.,11.17744311,59
129,129,210,JJ Redick,11.14478658,90
130,130,183,Gordon Hayward,11.12596846,81
131,131,427,Robert Covington,11.08995768,36
132,132,77,Collin Sexton,11.04302671,82
133,133,257,Joe Harris,11.00060864,84
134,134,117,Dennis Schroder,10.95593974,86
135,135,294,Kadeem Allen,10.91629427,20
136,136,379,Mitchell Robinson,10.82894222,68
137,137,335,Lonzo Ball,10.80767189,47
138,138,472,Terrence Ross,10.74727326,86
139,139,468,Taj Gibson,10.72079423,77
140,140,4,Al-Farouq Aminu,10.63759031,98
141,141,182,Goran Dragic,10.42680938,42
142,142,484,Tomas Satoransky,10.18380364,80
143,143,50,Brook Lopez,10.07633252,97
144,144,118,Dennis Smith Jr.,10.03866423,55
145,145,242,Jeff Green,10.01713245,80
146,146,303,Kenneth Faried,9.912458839,93
147,147,163,Evan Fournier,9.883576275,86
148,148,300,Kelly Olynyk,9.802169614,82
149,149,360,Marvin Williams,9.786574431,76
150,150,469,Taurean Prince,9.763703844,58
151,151,123,Derrick White,9.755820641,75
152,152,90,Damyean Dotson,9.739328805,80
153,153,381,Monte Morris,9.674879975,96
154,154,208,J.J. Barea,9.599335666,39
155,155,386,Nemanja Bjelica,9.583268444,81
156,156,450,Shai Gilgeous-Alexander,9.577927047,88
157,157,114,Delon Wright,9.539743959,76
158,158,151,Ed Davis,9.527943198,85
159,159,289,Justin Holiday,9.49959079,82
160,160,494,Trey Burke,9.493307377,72
161,161,425,Richaun Holmes,9.446595851,75
162,162,160,Eric Gordon,9.417706409,82
163,163,254,Joakim Noah,9.332133948,51
165,165,504,Tyler Johnson,9.292344898,64
166,166,173,Gary Harris,9.227585228,74
167,167,406,Patrick Beverley,9.183947279,84
168,168,98,Dario Saric,9.147920926,81
170,170,422,Reggie Bullock,9.142166018,72
171,171,6,Alec Burks,9.085449458,77
172,172,213,JaMychal Green,9.035584019,76
173,173,402,P.J. Tucker,9.004267265,93
174,174,511,Tyus Jones,8.948560836,72
175,175,25,Ante Zizic,8.869289135,75
176,176,217,Jae Crowder,8.845793108,85
177,177,340,Luke Kennard,8.814940401,69
178,178,207,Ivica Zubac,8.79823418,85
179,179,14,Allonzo Trier,8.775825004,65
180,180,131,Dion Waiters,8.768555809,47
181,181,371,Mikal Bridges,8.76362941,82
182,182,305,Kent Bazemore,8.741115717,67
183,183,361,Mason Plumlee,8.733232259,96
184,184,111,DeMarre Carroll,8.675611658,74
185,185,169,Fred VanVleet,8.674268647,89
186,186,272,Jonathan Isaac,8.664097104,80
187,187,9,Alex Len,8.660803993,79
188,188,525,Will Barton,8.628142665,57
189,189,239,Jaylen Brown,8.608485876,84
190,190,53,Bryn Forbes,8.507083886,89
191,191,18,Andre Iguodala,8.489914418,90
192,192,306,Kentavious Caldwell-Pope,8.434000313,82
193,193,431,Rodney Hood,8.3912743,96
194,194,354,Marcus Smart,8.354571015,82
195,195,221,Jalen Brunson,8.310902635,81
196,196,440,Ryan Arcidiacono,8.308278027,82
197,197,429,Robin Lopez,8.222557274,82
198,198,79,Cory Joseph,8.214297566,86
199,199,355,Mario Hezonja,8.095884994,73
200,200,434,Rondae Hollis-Jefferson,8.083683749,76
201,201,473,Terry Rozier,8.037254842,88
202,202,164,Evan Turner,8.000692129,90
203,203,518,Wayne Ellington,7.999114582,82
204,204,449,Shabazz Napier,7.938600394,81
205,205,486,Tony Parker,7.920608897,64
206,206,308,Kevin Huerter,7.890235259,78
207,207,281,Josh Jackson,7.803044912,79
208,208,8,Alex Caruso,7.799546532,30
209,209,346,Malik Beasley,7.794446603,95
210,210,108,DeAndre' Bembry,7.789798573,82
211,211,524,Wesley Matthews,7.782501389,73
212,212,527,Willy Hernangomez,7.682707576,81
213,213,94,Danny Green,7.681613509,104
214,214,218,Jahlil Okafor,7.654930164,77
215,215,166,Frank Kaminsky,7.651850811,80
216,216,341,Luke Kornet,7.628560597,63
217,217,409,Patty Mills,7.561735098,89
218,218,150,E'Twaun Moore,7.559621573,63
219,219,405,Pat Connaughton,7.506983151,96
220,220,452,Shaquille Harrison,7.503236756,80
221,221,247,Jeremy Lin,7.492966843,98
222,222,205,Ish Smith,7.453451586,60
223,223,375,Miles Bridges,7.450978326,82
224,224,176,George Hill,7.43214912,85
225,225,220,Jakob Poeltl,7.419477008,88
226,226,39,Boban Marjanovic,7.407319794,91
227,227,73,Christian Wood,7.400615502,39
228,228,400,Omri Casspi,7.367902398,44
229,229,309,Kevin Knox II,7.349394215,75
230,230,52,Bruno Caboclo,7.317300911,34
231,231,364,Maxi Kleber,7.307422582,73
232,232,5,Alan Williams,7.154889143,10
233,233,68,Cheick Diallo,7.144987899,74
234,234,126,Devin Robinson,7.083582197,13
235,235,363,Maurice Harkless,7.033299609,83
236,236,103,Davis Bertans,7.021949647,86
237,237,64,Chandler Hutchison,6.988679909,53
238,238,138,Dorian Finney-Smith,6.887356679,81
