index,PLAYER_NAME,PPP,GAME_COUNT
15,Amile Jefferson,1.347258711,30
428,Robert Williams III,1.287162359,60
153,Ekpe Udoh,1.231702189,87
147,Dwight Powell,1.21784734,79
126,Devin Robinson,1.208624145,13
437,Rudy Gobert,1.194044364,86
379,Mitchell Robinson,1.189569664,68
477,Thomas Bryant,1.184993468,81
425,Richaun Holmes,1.184045201,75
74,Clint Capela,1.153693925,79
505,Tyler Lydon,1.150252525,62
103,Davis Bertans,1.148757406,86
307,Kevin Durant,1.147211741,90
73,Christian Wood,1.145694903,39
120,Derrick Favors,1.143301013,82
220,Jakob Poeltl,1.143147996,88
312,Khem Birch,1.142824255,87
311,Kevon Looney,1.135417599,102
93,Danilo Gallinari,1.133794789,76
382,Montrezl Harrell,1.129456499,88
32,BJ Johnson,1.12526455,13
235,Jarrett Allen,1.122908116,86
66,Channing Frye,1.122204173,81
87,Damian Jones,1.119319393,29
460,Stephen Curry,1.117324581,91
387,Nene,1.116250703,74
297,Kawhi Leonard,1.114871591,88
260,John Collins,1.113947325,62
329,Landry Shamet,1.11370903,86
276,Jordan Loyd,1.11369277,24
303,Kenneth Faried,1.112979823,93
257,Joe Harris,1.11293891,84
245,Jerami Grant,1.111782821,85
468,Taj Gibson,1.101538577,77
214,JaVale McGee,1.097473025,81
53,Bryn Forbes,1.096991403,89
366,Meyers Leonard,1.095017092,98
151,Ed Davis,1.094577186,85
344,Malcolm Brogdon,1.093252778,80
210,JJ Redick,1.090221506,90
178,Georges Niang,1.088845622,80
376,Miles Plumlee,1.086961513,29
42,Bojan Bogdanovic,1.085440918,86
270,Jonas Valanciunas,1.079245072,50
180,Giannis Antetokounmpo,1.07764408,93
113,Deandre Ayton,1.072766884,71
345,Malcolm Miller,1.07235839,43
346,Malik Beasley,1.071604306,95
26,Anthony Davis,1.070836414,70
50,Brook Lopez,1.070833614,97
378,Mitchell Creek,1.06993436,13
296,Karl-Anthony Towns,1.06859786,78
404,Pascal Siakam,1.068358316,106
54,Buddy Hield,1.067806332,82
487,Tony Snell,1.065477688,96
139,Doug McDermott,1.063466346,81
76,Cody Zeller,1.062507838,50
145,Dwayne Bacon,1.060368771,68
3,Al Horford,1.058404438,78
466,TJ Leaf,1.057934068,83
427,Robert Covington,1.055589793,36
83,D.J. Augustin,1.055367074,86
107,DeAndre Jordan,1.054542805,76
526,Willie Cauley-Stein,1.053464366,81
263,John Jenkins,1.053066208,32
225,James Ennis III,1.052961449,74
246,Jeremy Lamb,1.050223138,79
315,Klay Thompson,1.047973373,102
184,Gorgui Dieng,1.046363769,80
68,Cheick Diallo,1.046225653,74
411,Paul George,1.046077451,86
483,Tobias Harris,1.045845324,94
133,Domantas Sabonis,1.045403325,79
128,Dewayne Dedmon,1.04532648,65
242,Jeff Green,1.044006406,80
226,James Harden,1.043462666,89
45,Bradley Beal,1.038436794,82
94,Danny Green,1.036833242,104
5,Alan Williams,1.036686391,10
465,T.J. Warren,1.035950643,44
88,Damian Lillard,1.035675768,98
287,Julius Randle,1.034878007,77
134,Donatas Motiejunas,1.033084193,10
353,Marcus Morris Sr.,1.03297965,86
33,Bam Adebayo,1.03235904,82
11,Alfonzo McKinnie,1.031448468,95
326,LaMarcus Aldridge,1.029620395,88
253,Jimmy Butler,1.029322765,77
441,Ryan Broekhoff,1.028571187,79
