index,TEAM,PPP
26,San Antonio Spurs,0.9991366576983788
9,Golden State Warriors,0.99568013658115
16,Milwaukee Bucks,0.9878604638586996
10,Houston Rockets,0.9822797700974484
28,Utah Jazz,0.9751899238632779
22,Philadelphia 76ers,0.9727511414502839
1,Boston Celtics,0.9664019730898705
6,Dallas Mavericks,0.963602797262372
12,LA Clippers,0.9635175966842949
27,Toronto Raptors,0.961329585686601
2,Brooklyn Nets,0.961260265307442
17,Minnesota Timberwolves,0.9554825748272047
25,Sacramento Kings,0.9552673614779937
3,Charlotte Hornets,0.954602133439781
29,Washington Wizards,0.9489932404176918
7,Denver Nuggets,0.9474832407824598
11,Indiana Pacers,0.9460251979416751
5,Cleveland Cavaliers,0.9405523026630737
21,Orlando Magic,0.9391165448021667
24,Portland Trail Blazers,0.925070910625059
15,Miami Heat,0.9234217031793567
0,Atlanta Hawks,0.9230169381130979
18,New Orleans Pelicans,0.915904834835363
4,Chicago Bulls,0.9140091837451652
20,Oklahoma City Thunder,0.9132134916895824
13,Los Angeles Lakers,0.9097919496584451
14,Memphis Grizzlies,0.9070656559119605
23,Phoenix Suns,0.8992866902564196
19,New York Knicks,0.89631078300047
8,Detroit Pistons,0.8906888320488692
